_unit_id,_golden,_canary,_unit_state,_trusted_judgments,_last_judgment_at,tag1,tag10,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,orig__golden,image_name,orig_tag1,orig_tag10,tag1_gold,orig_tag2,tag2_gold,orig_tag3,tag3_gold,orig_tag4,orig_tag5,orig_tag6,orig_tag7,orig_tag8,orig_tag9,url
374320188,FALSE,,finalized,3,12/21/13 7:46,"play
play
play","

","

","

","

","

","

","

","

","

",,ILSVRC2012_val_00006680,guitar,,,,,,,,,,,,,http://disi.unitn.it/~dle/images/DET/val/ILSVRC2012_val_00006680.JPEG
374320189,FALSE,,finalized,3,12/21/13 2:56,"sit
sit
sit","

","touch
none
n","

","

","

","

","

","

","

",,ILSVRC2012_val_00006681,chair,,,diningtable,,,,,,,,,,http://disi.unitn.it/~dle/images/DET/val/ILSVRC2012_val_00006681.JPEG
374320190,FALSE,,finalized,3,12/21/13 12:40,"play
play
play","

","

","

","

","

","

","

","

","

",,ILSVRC2012_val_00006682,saxophone,,,,,,,,,,,,,http://disi.unitn.it/~dle/images/DET/val/ILSVRC2012_val_00006682.JPEG
374320191,FALSE,,finalized,3,12/27/13 3:41,"hold
hold
touch","

","

","

","

","

","

","

","

","

",,ILSVRC2012_val_00006689,rugby ball,,,,,,,,,,,,,http://disi.unitn.it/~dle/images/DET/val/ILSVRC2012_val_00006689.JPEG
374320192,FALSE,,finalized,3,12/20/13 14:18,"sail
drive
sail","

","

","

","

","

","

","

","

","

",,ILSVRC2012_val_00006693,watercraft,,,,,,,,,,,,,http://disi.unitn.it/~dle/images/DET/val/ILSVRC2012_val_00006693.JPEG
374320193,FALSE,,finalized,3,12/23/13 15:39,"play
blow
play","

","

","

","

","

","

","

","

","

",,ILSVRC2012_val_00006695,oboe,,,,,,,,,,,,,http://disi.unitn.it/~dle/images/DET/val/ILSVRC2012_val_00006695.JPEG
374320194,FALSE,,finalized,3,12/20/13 18:04,"drive
stand
stand","

","none
steer
guide","

","

","

","

","

","

","

",,ILSVRC2012_val_00006718,cart,,,cattle,,,,,,,,,,http://disi.unitn.it/~dle/images/DET/val/ILSVRC2012_val_00006718.JPEG
374320195,FALSE,,finalized,3,12/20/13 21:18,"use
cut
saw","

","

","

","

","

","

","

","

","

",,ILSVRC2012_val_00006726,chain saw,,,,,,,,,,,,,http://disi.unitn.it/~dle/images/DET/val/ILSVRC2012_val_00006726.JPEG
374320196,FALSE,,finalized,3,12/21/13 8:53,"none
control
wait","

","drive
drive
drive","

","

","

","

","

","

","

",,ILSVRC2012_val_00006759,traffic light,,,car,,,,,,,,,,http://disi.unitn.it/~dle/images/DET/val/ILSVRC2012_val_00006759.JPEG
374320197,FALSE,,finalized,3,12/23/13 21:25,"carry
hold
carry","

","

","

","

","

","

","

","

","

",,ILSVRC2012_val_00006772,stretcher,,,,,,,,,,,,,http://disi.unitn.it/~dle/images/DET/val/ILSVRC2012_val_00006772.JPEG
374320198,FALSE,,finalized,3,12/21/13 19:49,"n
use
use","

","play
play
blow","

","

","

","

","

","

","

",,ILSVRC2012_val_00006773,microphone,,,harmonica,,,,,,,,,,http://disi.unitn.it/~dle/images/DET/val/ILSVRC2012_val_00006773.JPEG
374320199,FALSE,,finalized,3,12/20/13 22:55,"play
PLAY
play","

","

","

","

","

","

","

","

","

",,ILSVRC2012_val_00006782,cello,,,,,,,,,,,,,http://disi.unitn.it/~dle/images/DET/val/ILSVRC2012_val_00006782.JPEG
374320200,FALSE,,finalized,3,12/20/13 15:52,"stroke
touch
lay next to","

","

","

","

","

","

","

","

","

",,ILSVRC2012_val_00006824,dog,,,,,,,,,,,,,http://disi.unitn.it/~dle/images/DET/val/ILSVRC2012_val_00006824.JPEG
